description,unit
far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete. North & south side of main door of canteen,
Labour charges for dismantalling the damaged brick masonary with cement mortor and disposing the same to far off distance including hire charges of scaffolding cost and conveyance of all labour and materials at site of work complete,
"supply & fixing weld mesh partition 3""x1"" with 25x25x5mm thick angle all round and verticals and 25x5mm thick flats 4no's horizentals including welding fabrica tion and fixing with necessary primary coat and two coats of enamel paint etc cost and conveyance of all labour and materials at site ofg work complete. North & south side of main door of canteen",
"Providing and laying plain cement concrete 1:2:4 pro.(1cement 2sand:4metal)using 20 mm guage hard granite hand broken metal including machine mixing,deposing in position,ramming finishing curing including all incidental opaerational and cost and conveyanec of all labour and material at site of work complete as directed by the Engineer-in Charge Bed blocks",
"Bricks masonary with brick for any thickness of walls in C.M 1:8pro.(1cement:8sand)including soaking of brick all incidental, operational, scaffolding,curing chargecost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0"" above basement level) For base of wall",
"Plastering 20 mm thick in CM1:5 pro.(1cement:5sand) finishing including cleaning the surface cost of curing , scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-in-charge. For Base All Round",
Transporation of excavated soil and filling the same in tha low mtrs.over inicial lead of 10 mtrs including cost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge. Man Mazdoor,
"Labour charges for welding the hold fast to column rods including hire chareges of welding machine, cable and cost of welding rods scaffolding cost and convey ance of all labour and materials at site of work of complete. For sides of columns",
"Structural repairs to the RCC to surface to arrest leakages duly chipping with pneumatic poer chiselling equipment and until to achieve the hard mother concrete surface. Duly removing of debries cleaning of the surface from dirt and other foreign maters & water jet claening ,applying acrylic based bonding adhesive (Mix 1:1 ratui if cenebt)agent of FOSROC make,appling high strengh cement concrete flooring of 50mm thick average with C.C.1:1.5:3 pro using 12 mm down graded HGMC metal mixing with Concrete plsticizers and mixing, depositing, finishing in line,level and required slope including curring scaffolding arrangements, cost of construction chemicals, all incidental, operational, cost and conveyance of all labor and materials at site of work complete. Beam Column Add GST @ 18% Particulars",
"Labour charges for removing the old Enamel paint and cleaning the surface including hire charges of electrial cleaning machine,scaffolding, cost and conveyance of all labour and materials at site of work complete. Principal chamber Dining room Deduction patician wall",
"Whiting two coats to celling including cost of gum,gunjee water labour charges for thoroughlyl brushing the surface remove all dirt and remains of loose powdered materials including putty cost and conveyance of all labor and materials at site of work complete. Principal chamber Dining room Beam portion",
"Painting with interier emlusion paint two coats to walls with one coat primer, total three coats, approved make colour and quality including labour charges for thorougly brudshing the surface to remove all dirt and reamians of loose powered materials including putty cost and conveyance of all labor and materials and incidental such as scaffolding, lift charges etc., complete for finishing item of work as directed by the Engineer-in-charge. Principal chamber Dining room End walls",
Painting to walls with synthetic enamel paint in two coats of approved quality and colour in including cleaning the surface cost and conveyance of all labour and materials at site of work complete. Principal chamber Dining room middle wall End walls,
Painting to wood work with synthetic enamel paint in two coats of approved quality and colour in including cleaning the surface cost and conveyance of all labour and materials at site of work complete. For main door and dinning room door Add at 0.1% NAC Add GST at 18% Particulars,
"Removing of damaged brick masonary cement morter and stacking the useful materials for reuse and disposig the debris to a far off distance,all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete as directed by the Engineer- in - charge.(above 3.66 mts) Parapet wall Above windows Kitchen side",
"Removing of damaged rein forced cement concrete and disposing the debris to a far off distance, all incidental and operational charges cost and conveyance of all labour and materials at site of work com plete as directed by the Engineer-in-charges. Slab pillars Slab Sunshed Wash bashin slab Lintels",
